event_date,event_ts,event_name,user_pseudo_id,session_id,transaction_id,device_category,country,item_id,item_name,item_brand,item_category,item_category2,item_category3,price,quantity,item_revenue
2020-11-09,2020-11-09 19:58:05.622851 UTC,user_engagement,2183746.0803898120,2183746.0803898120-2984827895,,desktop,United Kingdom,,,,,,,,,
2020-11-09,2020-11-09 20:41:50.657777 UTC,user_engagement,3797818.2345546723,3797818.2345546723-6930222002,,desktop,Australia,,,,,,,,,
2020-11-09,2020-11-09 23:15:31.346222 UTC,page_view,4079170.0824182220,4079170.0824182220-4697656182,,desktop,United States,,,,,,,,,
2020-11-09,2020-11-09 13:47:57.727551 UTC,session_start,4670582.5687300691,4670582.5687300691-7272959424,,mobile,United States,,,,,,,,,
2020-11-09,2020-11-09 17:12:35.293148 UTC,page_view,9068773.7723987432,9068773.7723987432-325695356,,mobile,United States,,,,,,,,,
2020-11-09,2020-11-09 09:56:22.145502 UTC,user_engagement,9099069.8885102881,9099069.8885102881-9998642475,,mobile,France,,,,,,,,,
2020-11-09,2020-11-09 21:02:06.661384 UTC,user_engagement,25894477.8060319314,25894477.8060319314-6707151801,,desktop,Canada,,,,,,,,,
2020-11-09,2020-11-09 09:16:02.774748 UTC,session_start,29056964.3211059126,29056964.3211059126-1127788921,,desktop,United States,,,,,,,,,
2020-11-09,2020-11-09 04:22:37.287900 UTC,page_view,37295668.7095129342,37295668.7095129342-5584025699,,mobile,France,,,,,,,,,
2020-11-09,2020-11-09 12:27:02.491123 UTC,page_view,41065215.3053494464,41065215.3053494464-7740786551,,mobile,Switzerland,,,,,,,,,
2020-11-09,2020-11-09 11:19:58.526144 UTC,first_visit,52544136.6551724618,52544136.6551724618-7309281583,,desktop,Canada,,,,,,,,,
2020-11-09,2020-11-09 12:50:17.191630 UTC,session_start,53682811.4746191912,53682811.4746191912-4115699700,,mobile,Netherlands,,,,,,,,,
2020-11-09,2020-11-09 10:36:31.772618 UTC,page_view,68502304.0755035184,68502304.0755035184-2900682717,,mobile,Ireland,,,,,,,,,
2020-11-09,2020-11-09 14:01:07.688342 UTC,page_view,79942867.7472222378,79942867.7472222378-2150139897,,tablet,Turkey,,,,,,,,,
2020-11-09,2020-11-09 08:09:21.189425 UTC,scroll,80785726.6941945764,80785726.6941945764-6533803905,,mobile,United States,,,,,,,,,
2020-11-09,2020-11-09 03:24:09.158087 UTC,page_view,84961705.1006802727,84961705.1006802727-8835752363,,desktop,Canada,,,,,,,,,
2020-11-09,2020-11-09 13:43:29.523251 UTC,page_view,7460789402.5841061791,7460789402.5841061791-1822596343,,mobile,United States,,,,,,,,,
2020-11-09,2020-11-09 06:31:21.541984 UTC,view_item,2507101.3893618069,2507101.3893618069-5021141653,(not set),mobile,Hungary,GGOEGDNR147599,Google Super G Tumbler (Red Lid),(not set),Home/Eco-Friendly/,(not set),(not set),28.0,,
2020-11-09,2020-11-09 06:22:36.850603 UTC,view_item,2507101.3893618069,2507101.3893618069-5021141653,(not set),mobile,Hungary,GGOEGDHL116999,Google Campus Bike Bottle,(not set),Lifestyle/,(not set),(not set),27.0,,
2020-11-09,2020-11-09 16:59:08.168752 UTC,view_item,2945643.2236206675,2945643.2236206675-1759217532,(not set),desktop,United States,GGOEAFBA115599,Android Super Hero 3D Framed Art,(not set),Home/Sale/,(not set),(not set),40.0,,
2020-11-09,2020-11-09 23:31:27.184977 UTC,view_item,5833707.4640795740,5833707.4640795740-2328235854,(not set),desktop,Netherlands,GGOEAFKA087599,Android Large Removable Sticker Sheet,(not set),Home/Sale/,(not set),(not set),3.0,,
2020-11-09,2020-11-09 21:56:09.328799 UTC,view_item,8840524.4225978689,8840524.4225978689-666494441,(not set),mobile,Australia,GGOEGCKA151899,Google Decal,(not set),Home/Stationery/,(not set),(not set),1.0,,
2020-11-09,2020-11-09 01:32:06.772883 UTC,view_item,87898694.5389256341,87898694.5389256341-322635016,(not set),desktop,United States,GGOEYHPB121110,YouTube Leather Strap Hat Black,(not set),Home/Shop by Brand/YouTube/,(not set),(not set),17.0,,
2021-01-23,2021-01-23 05:37:37.789616 UTC,user_engagement,4164125.0295010106,4164125.0295010106-8436696905,,desktop,Italy,,,,,,,,,
2021-01-23,2021-01-23 10:29:01.106052 UTC,first_visit,5107358.6066358320,5107358.6066358320-934983959,,mobile,Canada,,,,,,,,,
2021-01-23,2021-01-23 07:59:24.471789 UTC,page_view,9059101.0561793515,9059101.0561793515-3106505710,,desktop,United States,,,,,,,,,
2021-01-23,2021-01-23 21:39:43.006333 UTC,session_start,17884517.9506978419,17884517.9506978419-2921969802,,mobile,Canada,,,,,,,,,
2021-01-23,2021-01-23 15:06:03.428643 UTC,page_view,20578258.7353566486,20578258.7353566486-8271006615,,desktop,United States,,,,,,,,,
2021-01-23,2021-01-23 03:57:14.250925 UTC,session_start,52266447.3180209219,52266447.3180209219-6106720528,,desktop,India,,,,,,,,,
2021-01-23,2021-01-23 15:05:59.327023 UTC,session_start,65293680.9623495308,65293680.9623495308-9584171427,,desktop,India,,,,,,,,,
2021-01-23,2021-01-23 10:55:25.084351 UTC,add_shipping_info,97146775.1973953571,97146775.1973953571-6685370320,(not set),desktop,India,,,,,,,,,
2021-01-23,2021-01-23 01:04:34.262710 UTC,view_item,2522139.8383510968,2522139.8383510968-7089335905,(not set),desktop,China,GGOEGOCA121599,Google Confetti Task Pad,(not set),Home/Stationery/Notebooks/,(not set),(not set),11.0,,
2021-01-23,2021-01-23 01:04:20.027522 UTC,add_to_cart,2522139.8383510968,2522139.8383510968-7089335905,(not set),desktop,China,GGOEGABJ099599,Google Laptop Sleeve Charcoal,(not set),Lifestyle/Small Goods/,(not set),(not set),20.0,,
